case_id,date,complaint_type,building_age,borough,days_since_last_service,time_of_day,season,status
22,2025-01-20 12:00:54.601303,No Heat,33,Brooklyn,95,Evening,Fall,Found Okay
23,2024-10-27 12:00:54.601307,Meter Issue,53,Staten Island,143,Evening,Winter,Needs Repair
24,2025-02-20 12:00:54.601310,Meter Issue,69,Manhattan,29,Evening,Summer,Found Okay
25,2024-09-20 12:00:54.601313,Meter Issue,58,Manhattan,36,Night,Fall,Found Okay
26,2025-07-09 12:00:54.601316,No Hot Water,50,Brooklyn,112,Afternoon,Winter,Needs Repair
27,2024-11-20 12:00:54.601319,Power Out,59,Queens,75,Morning,Winter,Found Okay
28,2024-12-07 12:00:54.601323,Power Out,56,Bronx,104,Evening,Winter,Found Okay
29,2024-08-20 12:00:54.601326,No Heat,61,Bronx,111,Evening,Winter,Needs Repair
30,2025-06-12 12:00:54.601329,Gas Smell,19,Brooklyn,27,Afternoon,Winter,Needs Repair
31,2025-06-02 12:00:54.601332,No Heat,26,Brooklyn,35,Morning,Winter,Found Okay
32,2025-02-11 12:00:54.601335,No Hot Water,65,Bronx,339,Night,Winter,Needs Repair
33,2025-01-24 12:00:54.601338,No Heat,27,Queens,31,Morning,Winter,Found Okay
34,2024-11-02 12:00:54.601342,No Heat,56,Queens,197,Night,Spring,Found Okay
35,2025-01-22 12:00:54.601345,No Hot Water,44,Manhattan,97,Night,Spring,Found Okay
36,2025-02-06 12:00:54.601348,No Hot Water,35,Brooklyn,620,Morning,Summer,Found Okay
37,2025-06-10 12:00:54.601351,Gas Smell,55,Brooklyn,12,Night,Summer,Needs Repair
38,2024-08-01 12:00:54.601354,No Heat,53,Brooklyn,319,Evening,Summer,Found Okay
39,2025-06-06 12:00:54.601357,No Hot Water,81,Bronx,121,Afternoon,Summer,Found Okay
40,2024-11-29 12:00:54.601360,No Heat,40,Bronx,0,Evening,Summer,Found Okay
41,2024-09-14 12:00:54.601363,Gas Smell,71,Bronx,55,Night,Summer,Needs Repair
42,2025-03-22 12:00:54.601366,Gas Smell,55,Queens,94,Night,Spring,Needs Repair
43,2024-09-27 12:00:54.601369,Gas Smell,40,Bronx,67,Afternoon,Spring,Needs Repair
44,2025-03-18 12:00:54.601372,Power Out,61,Manhattan,81,Afternoon,Spring,Found Okay
45,2025-07-10 12:00:54.601376,No Hot Water,58,Bronx,447,Evening,Winter,Found Okay
46,2024-09-05 12:00:54.601379,Power Out,50,Queens,80,Afternoon,Winter,Found Okay
47,2025-02-14 12:00:54.601382,No Hot Water,53,Brooklyn,97,Afternoon,Summer,Found Okay
48,2024-10-30 12:00:54.601385,No Hot Water,41,Manhattan,257,Night,Fall,Found Okay
49,2025-05-03 12:00:54.601388,Gas Smell,37,Queens,284,Afternoon,Spring,Needs Repair
50,2024-09-18 12:00:54.601391,No Heat,61,Staten Island,15,Night,Fall,Found Okay
51,2025-07-17 12:00:54.601394,Power Out,46,Brooklyn,219,Morning,Summer,Found Okay
52,2024-12-01 12:00:54.601397,Gas Smell,48,Bronx,118,Morning,Spring,Needs Repair
53,2024-11-08 12:00:54.601400,No Hot Water,54,Queens,25,Morning,Fall,Found Okay
54,2024-08-19 12:00:54.601403,No Heat,53,Staten Island,55,Night,Spring,Found Okay
55,2025-06-08 12:00:54.601406,No Heat,28,Queens,8,Morning,Fall,Found Okay
56,2024-08-25 12:00:54.601409,Meter Issue,69,Bronx,80,Evening,Summer,Needs Repair
57,2025-04-30 12:00:54.601412,Power Out,51,Queens,53,Night,Summer,Found Okay
58,2024-11-09 12:00:54.601415,No Heat,46,Staten Island,86,Evening,Winter,Found Okay
59,2025-06-26 12:00:54.601419,No Hot Water,56,Queens,156,Night,Fall,Found Okay
60,2025-01-06 12:00:54.601422,Gas Smell,53,Manhattan,237,Evening,Spring,Needs Repair
61,2025-05-11 12:00:54.601425,Power Out,61,Manhattan,167,Morning,Fall,Found Okay
62,2025-06-11 12:00:54.601428,No Heat,58,Bronx,204,Evening,Winter,Needs Repair
63,2024-08-05 12:00:54.601431,No Heat,60,Staten Island,361,Morning,Winter,Needs Repair
64,2025-07-29 12:00:54.601434,Meter Issue,70,Staten Island,372,Night,Winter,Found Okay
65,2025-06-07 12:00:54.601437,No Heat,63,Staten Island,354,Morning,Winter,Found Okay
66,2025-04-16 12:00:54.601441,No Heat,47,Staten Island,29,Afternoon,Spring,Found Okay
67,2024-11-13 12:00:54.601445,Meter Issue,33,Staten Island,52,Afternoon,Spring,Found Okay
68,2024-09-24 12:00:54.601448,Gas Smell,75,Brooklyn,125,Morning,Winter,Needs Repair
69,2025-01-21 12:00:54.601451,No Heat,46,Queens,79,Afternoon,Spring,Found Okay
70,2024-12-25 12:00:54.601454,No Heat,42,Staten Island,25,Afternoon,Winter,Needs Repair
71,2025-06-17 12:00:54.601457,No Heat,23,Manhattan,61,Afternoon,Summer,Found Okay
72,2025-02-19 12:00:54.601460,No Heat,55,Queens,667,Afternoon,Winter,Needs Repair
73,2025-01-10 12:00:54.601463,Meter Issue,52,Bronx,76,Evening,Summer,Found Okay
74,2024-11-03 12:00:54.601466,No Hot Water,27,Bronx,97,Afternoon,Winter,Found Okay
75,2024-08-14 12:00:54.601469,Power Out,56,Staten Island,1,Night,Winter,Found Okay
76,2024-09-30 12:00:54.601472,Meter Issue,42,Brooklyn,228,Morning,Spring,Found Okay
77,2024-11-02 12:00:54.601476,No Hot Water,90,Brooklyn,96,Night,Summer,Found Okay
78,2024-12-28 12:00:54.601480,No Heat,41,Queens,19,Afternoon,Spring,Found Okay
79,2024-11-21 12:00:54.601483,No Hot Water,43,Brooklyn,622,Night,Winter,Found Okay
80,2025-01-22 12:00:54.601486,Meter Issue,36,Bronx,270,Afternoon,Summer,Found Okay
81,2024-10-08 12:00:54.601489,Power Out,69,Staten Island,233,Evening,Winter,Found Okay
82,2024-12-30 12:00:54.601493,No Heat,44,Manhattan,570,Evening,Summer,Found Okay
83,2025-01-04 12:00:54.601496,Power Out,39,Bronx,94,Evening,Fall,Found Okay
84,2024-12-06 12:00:54.601499,Gas Smell,60,Bronx,228,Afternoon,Summer,Found Okay
85,2024-08-27 12:00:54.601502,Meter Issue,29,Queens,41,Morning,Fall,Found Okay
86,2025-06-08 12:00:54.601505,No Heat,59,Brooklyn,214,Evening,Winter,Needs Repair
87,2024-10-24 12:00:54.601508,No Hot Water,76,Manhattan,2,Afternoon,Winter,Found Okay
88,2024-12-26 12:00:54.601511,Meter Issue,58,Manhattan,24,Afternoon,Spring,Found Okay
89,2024-11-21 12:00:54.601514,No Hot Water,59,Brooklyn,99,Night,Fall,Found Okay
90,2025-01-24 12:00:54.601517,No Hot Water,63,Staten Island,2,Afternoon,Spring,Found Okay
91,2025-06-20 12:00:54.601520,No Heat,75,Brooklyn,111,Night,Fall,Found Okay
92,2025-02-24 12:00:54.601523,No Heat,68,Staten Island,133,Evening,Winter,Needs Repair
93,2025-07-16 12:00:54.601526,No Hot Water,56,Manhattan,174,Night,Spring,Found Okay
94,2024-10-03 12:00:54.601529,Meter Issue,63,Queens,19,Afternoon,Fall,Found Okay
95,2025-05-27 12:00:54.601533,No Heat,36,Bronx,35,Night,Spring,Found Okay
96,2024-08-20 12:00:54.601536,No Hot Water,61,Manhattan,171,Evening,Winter,Found Okay
97,2024-09-07 12:00:54.601539,Power Out,34,Manhattan,193,Afternoon,Fall,Found Okay
98,2025-07-22 12:00:54.601542,No Heat,44,Manhattan,4,Morning,Summer,Found Okay
99,2024-08-21 12:00:54.601545,No Hot Water,3,Bronx,139,Morning,Fall,Found Okay
100,2025-03-24 12:00:54.601548,Power Out,56,Staten Island,276,Afternoon,Winter,Found Okay
101,2025-03-17 12:00:54.601551,Meter Issue,40,Queens,12,Evening,Fall,Found Okay
102,2025-05-29 12:00:54.601554,Gas Smell,66,Queens,95,Afternoon,Spring,Needs Repair
103,2025-03-14 12:00:54.601557,Power Out,55,Queens,71,Morning,Winter,Found Okay
104,2025-05-11 12:00:54.601560,No Heat,66,Staten Island,440,Afternoon,Winter,Needs Repair
105,2025-02-18 12:00:54.601563,Meter Issue,33,Brooklyn,36,Night,Summer,Found Okay
106,2024-10-15 12:00:54.601566,No Heat,65,Brooklyn,68,Night,Summer,Found Okay
107,2024-11-12 12:00:54.601569,Power Out,81,Queens,411,Evening,Spring,Found Okay
108,2024-12-12 12:00:54.601572,No Heat,61,Manhattan,72,Evening,Spring,Found Okay
109,2025-06-20 12:00:54.601575,Meter Issue,61,Manhattan,136,Evening,Fall,Found Okay
110,2025-07-03 12:00:54.601579,Power Out,52,Bronx,6,Evening,Spring,Found Okay
111,2025-03-18 12:00:54.601582,Power Out,42,Brooklyn,754,Night,Spring,Found Okay
112,2025-01-11 12:00:54.601585,No Heat,61,Manhattan,313,Morning,Spring,Found Okay
113,2024-09-06 12:00:54.601588,No Hot Water,27,Queens,181,Evening,Fall,Found Okay
114,2024-11-05 12:00:54.601591,Gas Smell,43,Bronx,11,Evening,Winter,Needs Repair
115,2025-06-28 12:00:54.601595,Power Out,23,Brooklyn,14,Morning,Winter,Found Okay
116,2025-06-13 12:00:54.601598,No Heat,39,Bronx,141,Evening,Fall,Found Okay
117,2025-05-30 12:00:54.601601,Meter Issue,59,Manhattan,60,Morning,Spring,Found Okay
118,2024-12-27 12:00:54.601604,Meter Issue,57,Queens,175,Evening,Summer,Found Okay
119,2024-10-11 12:00:54.601607,No Heat,50,Queens,164,Evening,Fall,Found Okay
120,2025-04-23 12:00:54.601610,Power Out,52,Queens,328,Evening,Summer,Needs Repair
121,2025-02-09 12:00:54.601613,No Hot Water,21,Manhattan,59,Night,Spring,Found Okay
122,2024-08-05 12:00:54.601616,No Hot Water,44,Staten Island,155,Night,Winter,Found Okay
123,2024-12-29 12:00:54.601619,No Hot Water,39,Queens,270,Night,Summer,Found Okay
124,2025-06-26 12:00:54.601622,Gas Smell,40,Staten Island,121,Evening,Summer,Needs Repair
125,2024-12-16 12:00:54.601625,Power Out,58,Queens,319,Night,Summer,Found Okay
126,2025-04-21 12:00:54.601628,No Hot Water,37,Staten Island,25,Night,Summer,Found Okay
127,2025-03-22 12:00:54.601631,Gas Smell,40,Brooklyn,238,Night,Winter,Needs Repair
128,2024-11-16 12:00:54.601635,Power Out,18,Brooklyn,515,Afternoon,Winter,Found Okay
129,2025-07-26 12:00:54.601638,Power Out,45,Queens,72,Night,Summer,Found Okay
130,2024-12-25 12:00:54.601645,No Heat,33,Bronx,82,Afternoon,Fall,Needs Repair
131,2024-11-18 12:00:54.601648,Meter Issue,51,Bronx,15,Night,Winter,Found Okay
132,2024-08-06 12:00:54.601651,No Hot Water,35,Manhattan,184,Evening,Winter,Found Okay
133,2024-10-21 12:00:54.601654,No Heat,51,Brooklyn,144,Evening,Spring,Found Okay
134,2025-01-05 12:00:54.601657,No Heat,47,Brooklyn,7,Evening,Spring,Found Okay
135,2025-07-16 12:00:54.601660,No Hot Water,75,Bronx,251,Afternoon,Fall,Found Okay
136,2024-08-19 12:00:54.601663,Meter Issue,57,Queens,318,Evening,Fall,Found Okay
137,2025-06-19 12:00:54.601667,No Hot Water,22,Manhattan,427,Morning,Spring,Found Okay
138,2025-02-02 12:00:54.601670,Power Out,31,Brooklyn,142,Night,Spring,Needs Repair
139,2025-05-29 12:00:54.601673,No Heat,50,Manhattan,108,Afternoon,Summer,Found Okay
140,2024-08-13 12:00:54.601676,No Hot Water,36,Brooklyn,375,Afternoon,Spring,Found Okay
141,2024-12-12 12:00:54.601679,Meter Issue,5,Staten Island,91,Afternoon,Fall,Needs Repair
142,2024-12-02 12:00:54.601682,Power Out,70,Staten Island,191,Evening,Fall,Found Okay
143,2025-06-09 12:00:54.601685,No Heat,60,Manhattan,171,Morning,Spring,Needs Repair
144,2025-04-26 12:00:54.601688,No Hot Water,57,Bronx,83,Afternoon,Fall,Found Okay
145,2024-12-21 12:00:54.601691,No Heat,40,Bronx,16,Night,Winter,Found Okay
146,2024-12-12 12:00:54.601694,No Hot Water,56,Brooklyn,3,Night,Fall,Needs Repair
147,2024-12-06 12:00:54.601697,Power Out,39,Staten Island,100,Morning,Summer,Found Okay
148,2025-03-10 12:00:54.601700,Power Out,53,Staten Island,118,Night,Winter,Found Okay
149,2025-02-10 12:00:54.601703,No Heat,36,Manhattan,311,Morning,Winter,Found Okay
150,2025-07-02 12:00:54.601706,Meter Issue,72,Manhattan,96,Night,Winter,Found Okay
151,2025-06-25 12:00:54.601710,Gas Smell,26,Bronx,59,Morning,Spring,Needs Repair
152,2025-07-18 12:00:54.601713,No Hot Water,68,Bronx,111,Evening,Summer,Needs Repair
153,2025-02-21 12:00:54.601716,No Hot Water,50,Bronx,48,Night,Spring,Needs Repair
154,2024-09-07 12:00:54.601719,Gas Smell,42,Queens,17,Night,Summer,Needs Repair
155,2025-01-25 12:00:54.601722,Gas Smell,52,Staten Island,21,Night,Fall,Needs Repair
156,2024-11-30 12:00:54.601725,No Hot Water,61,Staten Island,69,Evening,Fall,Found Okay
157,2025-05-06 12:00:54.601728,No Hot Water,70,Manhattan,2,Evening,Fall,Found Okay
158,2024-10-20 12:00:54.601731,No Heat,54,Staten Island,44,Afternoon,Winter,Needs Repair
159,2025-05-26 12:00:54.601734,Power Out,36,Manhattan,278,Afternoon,Fall,Found Okay
160,2025-02-11 12:00:54.601737,No Hot Water,50,Queens,48,Morning,Summer,Found Okay
161,2025-06-16 12:00:54.601740,No Heat,77,Bronx,21,Afternoon,Winter,Needs Repair
162,2025-05-30 12:00:54.601743,Power Out,70,Queens,535,Night,Spring,Found Okay
163,2025-03-19 12:00:54.601746,Meter Issue,63,Bronx,175,Evening,Winter,Needs Repair
164,2024-10-20 12:00:54.601749,Meter Issue,61,Bronx,11,Evening,Spring,Found Okay
165,2025-07-03 12:00:54.601752,No Hot Water,60,Manhattan,11,Evening,Spring,Found Okay
166,2025-04-14 12:00:54.601755,No Heat,67,Bronx,170,Evening,Spring,Found Okay
167,2025-06-17 12:00:54.601758,No Hot Water,43,Queens,139,Morning,Winter,Found Okay
168,2024-08-25 12:00:54.601761,No Heat,29,Brooklyn,12,Afternoon,Fall,Found Okay
169,2024-10-18 12:00:54.601764,Meter Issue,51,Manhattan,45,Evening,Spring,Found Okay
170,2024-09-03 12:00:54.601767,No Heat,37,Bronx,476,Morning,Summer,Found Okay
171,2025-03-25 12:00:54.601771,No Heat,34,Bronx,152,Night,Summer,Needs Repair
172,2024-08-17 12:00:54.601774,No Hot Water,39,Staten Island,104,Afternoon,Summer,Found Okay
173,2024-12-12 12:00:54.601777,No Hot Water,87,Manhattan,51,Morning,Summer,Found Okay
174,2025-01-22 12:00:54.601781,Power Out,52,Manhattan,25,Evening,Spring,Needs Repair
175,2024-12-18 12:00:54.601784,No Hot Water,55,Queens,92,Evening,Summer,Found Okay
176,2024-10-21 12:00:54.601787,No Heat,31,Brooklyn,460,Evening,Winter,Found Okay
177,2025-04-01 12:00:54.601790,No Heat,22,Queens,8,Night,Summer,Found Okay
178,2025-04-06 12:00:54.601793,No Hot Water,37,Queens,847,Afternoon,Summer,Found Okay
179,2024-12-10 12:00:54.601796,No Heat,71,Queens,41,Evening,Fall,Found Okay
180,2024-11-14 12:00:54.601799,Gas Smell,55,Brooklyn,94,Afternoon,Winter,Found Okay
181,2024-08-06 12:00:54.601802,Gas Smell,58,Queens,8,Night,Winter,Needs Repair
182,2025-01-14 12:00:54.601805,Power Out,61,Manhattan,158,Morning,Fall,Found Okay
183,2025-03-16 12:00:54.601809,Meter Issue,41,Brooklyn,118,Afternoon,Summer,Found Okay
184,2024-09-16 12:00:54.601812,Meter Issue,70,Bronx,197,Morning,Spring,Found Okay
185,2025-02-16 12:00:54.601815,Meter Issue,40,Staten Island,140,Afternoon,Winter,Found Okay
186,2024-12-18 12:00:54.601818,No Heat,71,Staten Island,91,Evening,Spring,Found Okay
187,2024-09-27 12:00:54.601821,No Heat,56,Manhattan,240,Evening,Spring,Found Okay
188,2024-12-09 12:00:54.601824,No Hot Water,23,Staten Island,4,Morning,Summer,Found Okay
189,2025-02-09 12:00:54.601827,Meter Issue,38,Staten Island,140,Afternoon,Spring,Found Okay
190,2025-03-01 12:00:54.601830,Meter Issue,23,Staten Island,21,Night,Spring,Found Okay
191,2024-09-19 12:00:54.601833,Meter Issue,67,Bronx,103,Afternoon,Spring,Found Okay
192,2025-02-21 12:00:54.601836,No Heat,49,Staten Island,281,Morning,Fall,Found Okay
193,2025-04-26 12:00:54.601839,Meter Issue,16,Queens,27,Afternoon,Fall,Found Okay
194,2024-12-10 12:00:54.601842,No Hot Water,55,Manhattan,494,Afternoon,Summer,Found Okay
195,2025-02-01 12:00:54.601845,No Heat,41,Manhattan,394,Morning,Winter,Needs Repair
196,2025-04-09 12:00:54.601848,No Hot Water,27,Manhattan,96,Morning,Summer,Needs Repair
197,2024-09-16 12:00:54.601851,No Heat,75,Bronx,1,Morning,Winter,Needs Repair
198,2025-06-09 12:00:54.601854,No Hot Water,51,Bronx,280,Afternoon,Spring,Found Okay
199,2024-11-05 12:00:54.601858,No Hot Water,45,Staten Island,382,Morning,Winter,Found Okay
200,2024-10-09 12:00:54.601861,No Hot Water,44,Queens,34,Morning,Winter,Needs Repair
201,2025-04-09 12:00:54.601864,Gas Smell,27,Staten Island,446,Night,Winter,Needs Repair
202,2025-04-21 12:00:54.601867,Meter Issue,30,Manhattan,441,Night,Winter,Found Okay
203,2025-04-09 12:00:54.601870,Power Out,69,Queens,114,Night,Fall,Found Okay
204,2025-05-11 12:00:54.601873,No Hot Water,42,Manhattan,287,Morning,Spring,Found Okay
205,2025-01-25 12:00:54.601876,Power Out,50,Queens,105,Morning,Winter,Found Okay
206,2025-04-09 12:00:54.601879,Meter Issue,19,Brooklyn,149,Night,Winter,Found Okay
207,2025-07-29 12:00:54.601882,No Heat,30,Bronx,69,Evening,Spring,Found Okay
208,2025-03-23 12:00:54.601885,No Hot Water,59,Bronx,31,Evening,Winter,Found Okay
209,2024-12-23 12:00:54.601888,No Heat,55,Manhattan,247,Night,Summer,Found Okay
210,2025-06-07 12:00:54.601891,No Heat,76,Manhattan,0,Night,Winter,Needs Repair
211,2024-08-22 12:00:54.601894,Power Out,70,Brooklyn,155,Evening,Summer,Needs Repair
212,2024-12-19 12:00:54.601897,Meter Issue,46,Staten Island,360,Night,Summer,Found Okay
213,2024-12-18 12:00:54.601900,No Heat,57,Queens,45,Morning,Summer,Found Okay
214,2025-03-27 12:00:54.601903,Power Out,45,Brooklyn,72,Night,Fall,Found Okay
215,2025-03-23 12:00:54.601906,Meter Issue,80,Brooklyn,159,Afternoon,Fall,Found Okay
216,2025-06-08 12:00:54.601909,Meter Issue,67,Manhattan,51,Evening,Spring,Needs Repair
217,2025-02-09 12:00:54.601912,No Heat,52,Manhattan,338,Morning,Summer,Found Okay
218,2024-12-25 12:00:54.601915,Meter Issue,53,Staten Island,82,Evening,Fall,Found Okay
219,2025-02-21 12:00:54.601918,No Hot Water,71,Staten Island,156,Night,Summer,Found Okay
220,2025-01-14 12:00:54.601921,Gas Smell,58,Manhattan,46,Evening,Fall,Needs Repair
221,2024-11-26 12:00:54.601924,No Heat,73,Bronx,7,Night,Spring,Found Okay
222,2024-09-10 12:00:54.601927,No Heat,17,Staten Island,34,Morning,Spring,Found Okay
223,2025-01-09 12:00:54.601930,Power Out,56,Brooklyn,8,Morning,Fall,Found Okay
224,2025-01-28 12:00:54.601933,No Hot Water,42,Manhattan,113,Evening,Fall,Found Okay
225,2025-03-30 12:00:54.601936,No Heat,76,Queens,159,Morning,Summer,Needs Repair
226,2024-11-18 12:00:54.601939,No Heat,73,Queens,8,Evening,Spring,Found Okay
227,2024-10-10 12:00:54.601942,Power Out,50,Bronx,17,Evening,Winter,Found Okay
228,2024-10-24 12:00:54.601946,No Heat,73,Manhattan,119,Evening,Summer,Found Okay
229,2024-09-09 12:00:54.601949,Power Out,76,Brooklyn,288,Evening,Fall,Found Okay
230,2025-04-24 12:00:54.601952,No Heat,51,Bronx,177,Afternoon,Summer,Found Okay
231,2025-01-14 12:00:54.601955,No Heat,87,Brooklyn,19,Afternoon,Winter,Needs Repair
232,2024-12-03 12:00:54.601958,No Hot Water,49,Queens,393,Night,Spring,Found Okay
233,2025-03-09 12:00:54.601961,No Hot Water,46,Brooklyn,448,Morning,Winter,Found Okay
234,2025-04-25 12:00:54.601964,No Hot Water,62,Queens,70,Afternoon,Fall,Found Okay
235,2025-01-11 12:00:54.601967,No Hot Water,44,Staten Island,172,Afternoon,Fall,Found Okay
236,2025-03-29 12:00:54.601970,Meter Issue,51,Queens,122,Morning,Fall,Found Okay
237,2025-01-25 12:00:54.601973,Gas Smell,71,Queens,512,Evening,Fall,Needs Repair
238,2024-09-08 12:00:54.601976,No Heat,50,Bronx,127,Afternoon,Fall,Found Okay
239,2024-08-16 12:00:54.601980,No Hot Water,24,Bronx,579,Afternoon,Winter,Found Okay
240,2024-11-14 12:00:54.601983,Meter Issue,55,Manhattan,40,Afternoon,Spring,Needs Repair
241,2025-03-05 12:00:54.601986,No Hot Water,39,Manhattan,76,Afternoon,Spring,Found Okay
242,2024-11-21 12:00:54.601989,No Heat,62,Queens,273,Evening,Summer,Found Okay
243,2024-08-19 12:00:54.601992,Power Out,60,Staten Island,275,Morning,Summer,Found Okay
244,2025-03-06 12:00:54.601995,Gas Smell,72,Manhattan,237,Afternoon,Summer,Needs Repair
245,2025-03-05 12:00:54.601998,Gas Smell,63,Queens,353,Afternoon,Fall,Needs Repair
246,2024-08-13 12:00:54.602001,No Heat,66,Bronx,218,Afternoon,Spring,Found Okay
247,2025-01-13 12:00:54.602004,No Heat,39,Manhattan,181,Afternoon,Fall,Found Okay
248,2024-09-26 12:00:54.602007,Gas Smell,62,Manhattan,110,Morning,Summer,Found Okay
249,2025-03-25 12:00:54.602010,No Heat,79,Queens,113,Evening,Fall,Found Okay
250,2025-06-22 12:00:54.602013,No Hot Water,39,Queens,93,Night,Winter,Found Okay
251,2024-08-27 12:00:54.602016,No Hot Water,76,Brooklyn,174,Morning,Summer,Found Okay
252,2024-08-05 12:00:54.602019,No Heat,41,Brooklyn,93,Afternoon,Spring,Found Okay
253,2025-03-24 12:00:54.602022,Meter Issue,37,Staten Island,28,Night,Spring,Needs Repair
254,2024-11-06 12:00:54.602025,Power Out,54,Manhattan,20,Afternoon,Summer,Found Okay
255,2025-03-02 12:00:54.602029,Power Out,60,Brooklyn,464,Morning,Spring,Needs Repair
256,2024-10-06 12:00:54.602032,No Heat,63,Queens,4,Evening,Spring,Found Okay
257,2025-04-23 12:00:54.602035,No Heat,35,Manhattan,20,Night,Summer,Needs Repair
258,2024-11-10 12:00:54.602038,No Hot Water,56,Brooklyn,106,Night,Summer,Found Okay
259,2024-11-21 12:00:54.602041,No Heat,39,Staten Island,54,Evening,Fall,Found Okay
260,2025-03-09 12:00:54.602044,Meter Issue,27,Staten Island,93,Evening,Fall,Found Okay
261,2024-08-19 12:00:54.602047,No Heat,36,Staten Island,22,Night,Winter,Found Okay
262,2025-04-10 12:00:54.602050,No Hot Water,38,Staten Island,25,Night,Spring,Found Okay
263,2025-06-01 12:00:54.602054,No Hot Water,57,Queens,290,Night,Summer,Found Okay
264,2025-07-29 12:00:54.602057,Gas Smell,67,Staten Island,256,Night,Winter,Needs Repair
265,2024-09-30 12:00:54.602060,No Heat,27,Bronx,19,Evening,Spring,Found Okay
266,2024-11-19 12:00:54.602063,No Hot Water,55,Staten Island,198,Morning,Spring,Found Okay
267,2025-03-13 12:00:54.602066,No Heat,32,Brooklyn,169,Morning,Winter,Found Okay
268,2025-06-24 12:00:54.602069,Meter Issue,59,Manhattan,224,Evening,Spring,Found Okay
269,2025-02-21 12:00:54.602072,No Heat,40,Brooklyn,115,Morning,Summer,Found Okay
270,2025-07-22 12:00:54.602081,Meter Issue,34,Manhattan,56,Morning,Winter,Found Okay
271,2024-12-10 12:00:54.602085,Power Out,61,Queens,196,Afternoon,Winter,Found Okay
272,2025-04-23 12:00:54.602089,No Heat,41,Manhattan,83,Morning,Fall,Found Okay
273,2025-03-06 12:00:54.602092,Power Out,45,Bronx,44,Night,Summer,Found Okay
274,2024-09-30 12:00:54.602095,No Heat,16,Staten Island,94,Morning,Fall,Found Okay
275,2025-01-04 12:00:54.602098,Meter Issue,64,Brooklyn,259,Evening,Winter,Found Okay
276,2025-03-22 12:00:54.602101,No Hot Water,62,Manhattan,116,Morning,Summer,Found Okay
277,2025-03-01 12:00:54.602104,No Hot Water,50,Brooklyn,64,Evening,Summer,Needs Repair
278,2025-06-07 12:00:54.602107,No Hot Water,27,Staten Island,320,Night,Fall,Found Okay
279,2025-04-02 12:00:54.602110,No Heat,68,Queens,384,Afternoon,Spring,Found Okay
280,2025-02-20 12:00:54.602113,Meter Issue,40,Staten Island,102,Afternoon,Spring,Found Okay
281,2025-04-06 12:00:54.602116,No Heat,43,Queens,84,Morning,Spring,Found Okay
282,2025-05-17 12:00:54.602119,Power Out,84,Brooklyn,170,Morning,Fall,Found Okay
283,2025-04-09 12:00:54.602122,No Hot Water,39,Queens,10,Evening,Spring,Found Okay
284,2025-04-18 12:00:54.602125,Meter Issue,61,Queens,211,Afternoon,Fall,Found Okay
285,2024-08-25 12:00:54.602128,No Heat,58,Queens,274,Night,Fall,Found Okay
286,2024-11-19 12:00:54.602132,No Hot Water,55,Queens,91,Evening,Spring,Found Okay
287,2024-12-16 12:00:54.602135,No Hot Water,54,Queens,34,Morning,Fall,Found Okay
288,2025-04-10 12:00:54.602138,Power Out,55,Manhattan,5,Afternoon,Fall,Needs Repair
289,2025-04-23 12:00:54.602141,No Heat,54,Queens,182,Morning,Summer,Found Okay
